amazon_aurora.test.ts,Amazon/Aurora
amazon_dynamo_db.test.ts,Amazon/DynamoDB
amazon_dynamo_db_assume_role.test.ts,Amazon/DynamoDB
amazon_kinesis_streaming.test.ts,Amazon/Kinesis
amazon_s3_avro.test.ts,Amazon/S3
amazon_s3_csv.test.ts,Amazon/S3
amazon_s3_excel.test.ts,Amazon/S3
amazon_s3_json.test.ts,Amazon/S3
amazon_s3_parquet.test.ts,Amazon/S3
azure_blob_storage_avro.test.ts,Azure/Blob_storage
azure_blob_storage_csv.test.ts,Azure/Blob_storage
azure_blob_storage_excel.test.ts,Azure/Blob_storage
azure_blob_storage_json.test.ts,Azure/Blob_storage
azure_blob_storage_parquet.test.ts,Azure/Blob_storage
azure_blob_storage_sas_avro.test.ts,Azure/Blob_storage_SAS
azure_blob_storage_sas_csv.test.ts,Azure/Blob_storage_SAS
azure_blob_storage_sas_excel.test.ts,Azure/Blob_storage_SAS
azure_blob_storage_sas_parquet.test.ts,Azure/Blob_storage_SAS
azure_cosmo_db.test.ts,Azure/CosmoDB
azure_data_lake_storage_gen_2_avro.test.ts,Azure/Data_Lake_Storage_Gen2
azure_data_lake_storage_gen_2_csv.test.ts,Azure/Data_Lake_Storage_Gen2
azure_data_lake_storage_gen_2_csv_other_settings.test.ts,Azure/Data_Lake_Storage_Gen2
azure_data_lake_storage_gen_2_json.test.ts,Azure/Data_Lake_Storage_Gen2
azure_data_lake_storage_gen_2_parquet.test.ts,Azure/Data_Lake_Storage_Gen2
azure_data_lake_storage_gen_2_tab.test.ts,Azure/Data_Lake_Storage_Gen2
azure_data_lake_storage_gen_2_sas_avro.test.ts,Azure/Data_Lake_Storage_Gen2_SAS
azure_data_lake_storage_gen_2_sas_csv.test.ts,Azure/Data_Lake_Storage_Gen2_SAS
azure_data_lake_storage_gen_2_sas_json.test.ts,Azure/Data_Lake_Storage_Gen2_SAS
azure_data_lake_storage_gen_2_sas_parquet.test.ts,Azure/Data_Lake_Storage_Gen2_SAS
azure_event_hubs_streaming_avro.test.ts,Azure/Event_Hubs
azure_event_hubs_streaming_csv.test.ts,Azure/Event_Hubs
azure_event_hubs_streaming_json.test.ts,Azure/Event_Hubs
azure_event_hubs_streaming_text.test.ts,Azure/Event_Hubs
azure_synapse.test.ts,Azure/Synapse
box_enterprise_id_avro.test.ts,Box/Box_enterprise_id
box_enterprise_id_csv.test.ts,Box/Box_enterprise_id
box_enterprise_id_excel.test.ts,Box/Box_enterprise_id
box_enterprise_id_excel_html.test.ts,Box/Box_enterprise_id
box_enterprise_id_json.test.ts,Box/Box_enterprise_id
box_user_id_avro.test.ts,Box/Box_user_id
box_user_id_avro_folder_id.test.ts,Box/Box_user_id
box_user_id_csv.test.ts,Box/Box_user_id
box_user_id_excel.test.ts,Box/Box_user_id
box_user_id_excel_html.test.ts,Box/Box_user_id
box_user_id_json.test.ts,Box/Box_user_id
database_derby.test.ts,Database/Derby
database_maria_db.test.ts,Database/MariaDB
database_mssql.test.ts,Database/MSSQL
database_mssql_auth_basic.test.ts,Database/MSSQL
database_mysql.test.ts,Database/MySQL
database_mysql_auth_basic.test.ts,Database/MySQL
database_postgre_sql.test.ts,Database/PostgreSQL
database_postgre_sql_auth_basic.test.ts,Database/PostgreSQL
database_redshift.test.ts,Database/Redshift
database_single_store.test.ts,Database/SingleStore
database_snowflake.test.ts,Database/Snowflake
database_snowflake_auth_basic.test.ts,Database/Snowflake/Basic
database_snowflake_auth_keypair.test.ts,Database/Snowflake/Keypair
google_big_query.test.ts,Google/Big_query
google_cloud_storage_common_io_avro.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_csv_escape_char.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_csv_header.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_csv_iso_8859_15.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_csv_linux.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_csv_pipe_field_separator.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_csv_quote_char.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_csv_semicolon_field_separator.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_csv_windows.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_excel_2007.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_excel_97.test.ts,Google/Cloud_storage
google_cloud_storage_common_io_json.test.ts,Google/Cloud_storage
google_cloud_storage_csv.test.ts,Google/Cloud_storage
google_cloud_storage_path.test.ts,Google/Cloud_storage
google_pub_sub_avro.test.ts,Google/Pub_sub
google_pub_sub_csv.test.ts,Google/Pub_sub
google_pub_sub_json.test.ts,Google/Pub_sub
google_pub_sub_text.test.ts,Google/Pub_sub
couchbase.test.ts,Others/Couchbase
elastic_search.test.ts,Others/ElasticSearch
ftp.test.ts,Others/FTP
kafka.test.ts,Others/Kafka
kudu.test.ts,Others/Kudu
local_connection.test.ts,Others/Local_connection
marketo.test.ts,Others/Marketo
mongo_db.test.ts,Others/Mongo_DB
net_suite.test.ts,Others/NetSuite
pulsar.test.ts,Others/Pulsar
salesforce.test.ts,Others/Salesforce
sftp.test.ts,Others/SFTP
processor_aggregate.test.ts,Processor
processor_data_cleansing.test.ts,Processor
processor_data_hashing.test.ts,Processor
processor_data_sampling.test.ts,Processor
processor_dates.test.ts,Processor
processor_fields_concatenator.test.ts,Processor
processor_field_selector.test.ts,Processor
processor_filter.test.ts,Processor
processor_math.test.ts,Processor
processor_normalize.test.ts,Processor
processor_numbers.test.ts,Processor
processor_phones.test.ts,Processor
processor_python.test.ts,Processor/Python
processor_python3_socket.test.ts,Processor/Python
processor_python3_telnetlib.test.ts,Processor/Python
processor_replica.test.ts,Processor
processor_run_preparation.test.ts,Processor
processor_split.test.ts,Processor
processor_strings.test.ts,Processor
processor_type_converter.test.ts,Processor/Type_convertor
rest_auth_basic.test.ts,REST/Auth_basic
rest_auth_digest.test.ts,REST/Auth_digest
rest_no_auth_batch.test.ts,REST/No_Auth
rest_no_auth_header_parameter.test.ts,REST/No_Auth
rest_no_auth_http_bin.test.ts,REST/No_Auth
rest_no_auth_path_parameter.test.ts,REST/No_Auth
rest_no_auth_streaming.test.ts,REST/No_Auth
rest_no_auth_url_parameter.test.ts,REST/No_Auth
workday_raas.test.ts,Workday/Raas
workday_raas_hierarchical.test.ts,Workday/Raas
workday_wssa.test.ts,Workday/Wssa
